county_name,county_fips,year,dem_share,rep_share,margin,winner
Del Norte,6015,2012,0.4322690992018244,0.5261117445838084,0.093842645381984,Republican
El Dorado,6017,2012,0.39612949737535763,0.5741883884921261,0.17805889111676843,Republican
Fresno,6019,2012,0.4989008101936815,0.48097764143617167,-0.017923168757509822,Democrat
Glenn,6021,2012,0.35837585495603086,0.61144284008251,0.2530669851264792,Republican
Humboldt,6023,2012,0.5995649904297895,0.3275622063685401,-0.2720027840612494,Democrat
Imperial,6025,2012,0.6517827045248282,0.3313107740178919,-0.32047193050693634,Democrat
Inyo,6027,2012,0.4258337481333997,0.5400696864111498,0.11423593827775014,Republican
Kern,6029,2012,0.4040917136251987,0.571711096662332,0.1676193830371333,Republican
Kings,6031,2012,0.4131071360366669,0.5624482780571647,0.1493411420204978,Republican
Lake,6033,2012,0.5627378051387286,0.39331366764995085,-0.16942413748877777,Democrat
Lassen,6035,2012,0.2857811476177104,0.6829542263409155,0.3971730787232051,Republican
Los Angeles,6037,2012,0.6969054722833565,0.27831322006106757,-0.41859225222228896,Democrat
Madera,6039,2012,0.4017960166557969,0.5732202879646817,0.17142427130888482,Republican
Marin,6041,2012,0.7426328466502126,0.229563769365726,-0.5130690772844866,Democrat
Mariposa,6043,2012,0.38866666666666666,0.5711111111111111,0.18244444444444446,Republican
Mendocino,6045,2012,0.6623354370734215,0.27580889282348575,-0.3865265442499357,Democrat
Merced,6047,2012,0.5318497510353385,0.4444462349130638,-0.0874035161222747,Democrat
Modoc,6049,2012,0.2787255393878575,0.6966884094330156,0.4179628700451581,Republican
Mono,6051,2012,0.527504342790967,0.44103454931480407,-0.08646979347616296,Democrat
Monterey,6053,2012,0.6713191599604916,0.30270891691899154,-0.3686102430415001,Democrat
Napa,6055,2012,0.6296517343069794,0.34275382670973176,-0.28689790759724765,Democrat
Nevada,6057,2012,0.4772621719947364,0.48351265577831104,0.006250483783574623,Republican
Orange,6059,2012,0.45645001532070145,0.5187055076140323,0.06225549229333088,Republican
Placer,6061,2012,0.39001412544798686,0.5832350778067031,0.19322095235871628,Republican
Plumas,6063,2012,0.40071663183039713,0.5694237085697224,0.16870707673932522,Republican
Riverside,6065,2012,0.49714385857831994,0.48062190005544586,-0.01652195852287408,Democrat
Sacramento,6067,2012,0.5814585272315305,0.39185463101455276,-0.1896038962169777,Democrat
